sample	library	run	pair	layout	fqpath
9280	9280A	CL100035942_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L02_9280A_m0_1.fq.gz
9280	9280A	CL100035942_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L02_9280A_m0_2.fq.gz
9282	9282A	CL100035942_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L02_9282A_m0_1.fq.gz
9282	9282A	CL100035942_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L02_9282A_m0_2.fq.gz
9267	9267A	CL100035944_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L01_9267A_m0_1.fq.gz
9267	9267A	CL100035944_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L01_9267A_m0_2.fq.gz
9280	9280A	CL100035944_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L01_9280A_m0_1.fq.gz
9280	9280A	CL100035944_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L01_9280A_m0_2.fq.gz
9282	9282A	CL100035944_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L01_9282A_m0_1.fq.gz
9282	9282A	CL100035944_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L01_9282A_m0_2.fq.gz
9267	9267A	CL100035944_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L02_9267A_m0_1.fq.gz
9267	9267A	CL100035944_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L02_9267A_m0_2.fq.gz
9280	9280A	CL100035944_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L02_9280A_m0_1.fq.gz
9280	9280A	CL100035944_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L02_9280A_m0_2.fq.gz
9282	9282A	CL100035944_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L02_9282A_m0_1.fq.gz
9282	9282A	CL100035944_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035944_L02_9282A_m0_2.fq.gz
P10	P10A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P10A_m0_1.fq.gz
P10	P10A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P10A_m0_2.fq.gz
P11	P11A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P11A_m0_1.fq.gz
