Table S3 Heterozygosity resources						
Catalog	Common name	Taxonomy	Family	Order	Conservation status	Heterozygosity 
mammals	Dassie Rat	Petromus typicus	Rodentia	Petromuridae	Least Concern	0.0042700
mammals	Cape Ground Squirrel	Xerus inauris	Rodentia	Sciuridae	Least Concern	0.0017000
mammals	Greater Cane Rat	Thryonomys swinderianus	Rodentia	Thryonomyidae	Least Concern	0.0036300
mammals	Mexican Howler Monkey	Alouatta palliata mexicana	Primates	Atelidae	Critically Endangered	0.0009510
mammals	Emperor Tamarin	Saguinus imperator	Primates	Cebidae	Least Concern	0.0031000
mammals	White-fronted Capuchin	Cebus albifrons	Primates	Cebidae	Least Concern	0.0019900
mammals	De Brazza's Monkey	Cercopithecus neglectus	Primates	Cercopithecidae	Least Concern	0.0023160
mammals	Northern Plains Gray Langur	Semnopithecus entellus	Primates	Cercopithecidae	Least Concern	0.0022500
mammals	Patas Monkey	Erythrocebus patas	Primates	Cercopithecidae	Least Concern	0.0023000
mammals	Proboscis Monkey	Nasalis larvatus	Primates	Cercopithecidae	Endangered	0.0014400
mammals	Red-shanked Douc	Pygathrix nemaeus	Primates	Cercopithecidae	Endangered	0.0018600
mammals	Aye-aye	Daubentonia madagascariensis	Primates	Daubentoniidae	Endangered	0.0007090
mammals	Indri	Indri indri	Primates	Indriidae	Critically Endangered	0.0051300
mammals	Common Brown Lemur	Eulemur fulvus	Primates	Lemuridae	Near Threatened	0.0061900
mammals	Ring Tailed Lemur	Lemur catta	Primates	Lemuridae	Endangered	0.0034400
mammals	Sunda Slow Loris	Nycticebus coucang	Primates	Lorisidae	Vulnerable	0.0026400
mammals	White-eared Titi	Callicebus donacophilus	Primates	Pitheciidae	Least Concern	0.0016600
mammals	White-faced Saki	Pithecia pithecia	Primates	Pitheciidae	Least Concern	0.0017800
mammals	Sunda Flying Lemur	Galeopterus variegatus	Dermoptera	Cynocephalidae	Least Concern	0.0044600
mammals	Large treeshrew	Tupaia tana	Scandentia	Tupaiidae	Least Concern	0.0059800
mammals	Southern Three-Banded Armadillo	Tolypeutes matacus	Cingulata	Chlamyphoridae	Near Threatened	0.0041800
mammals	Linnaeus's Two Toed Sloth	Choloepus didactylus	Pilosa	Megalonychidae	Least Concern	0.0036880
mammals	Giant Anteater	Myrmecophaga tridactyla	Pilosa	Myrmecophagidae	Vulnerable	0.0034500
mammals	Southern Tamandua	Tamandua tetradactyla	Pilosa	Myrmecophagidae	Least Concern	0.0056000
mammals	African Yellow-spotted Rock Hyrax	Heterohyrax brucei	Hyracoidea	Procaviidae	Least Concern	0.0047200
mammals	South African Rock Hyrax	Procavia capensis	Hyracoidea	Procaviidae	Least Concern	0.0057800
mammals	Talazac's Shrew Tenrec	Microgale talazaci	afrosoricida	Tenrecidae	Least Concern	0.0046500
mammals	Cape Elephant Shrew	Elephantulus edwardii	Macroscelidea	Macroscelididae	Least Concern	0.0031800
mammals	Aardvark	Orycteropus afer	Tubulidentata	Orycteropodidae	Least Concern	0.0021100
mammals	Chacoan peccary	Catagonus wagneri	Artiodactyla	Tayassuidae	Endangered	0.0040686
mammals	Hippopotamus	Hippopotamus amphibius	Artiodactyla	Hippopotamidae	Vulnerable	0.0031410
mammals	South African Rock Hyrax	Procavia capensis	Hyracoidea	Procaviidae	Least Concern	0.0053734
mammals	Sunda Flying Lemur	Galeopterus variegatus	Dermoptera	Cynocephalidae	Least Concern	0.0042675
mammals	Java Lesser Chevrotain	Tragulus javanicus	Artiodactyla	Tragulidae	Data deficient	0.0047146
mammals	Siberian Musk Deer	Moschus moschiferus	Artiodactyla	Moschidae	Vulnerable	0.0015827
mammals	Black Rhinocerous	Diceros bicornis	Perissodactyla	Rhinocerotidae	Critically Endangered	0.0018856
mammals	Pronghorn	Antilocapra americana	Artiodactyla	Antilocapridae	Least Concern	0.0014693
ruminants	Impala	Aepyceros melampus	Artiodactyla	Bovidae	Least Concern	0.0010912
ruminants	Common eland	Taurotragus oryx	Artiodactyla	Bovidae	Least Concern	0.0006258
ruminants	Steenbok	Raphicerus campestris	Artiodactyla	Bovidae	Least Concern	0.0066045
ruminants	Grant's gazelle	Nanger granti	Artiodactyla	Bovidae	Least Concern	0.0021847
ruminants	Defassa Waterbuck	Kobus ellipsiprymnus	Artiodactyla	Bovidae	Least Concern	0.0034946
ruminants	Thomson's gazelle	Gazella thomsoni	Artiodactyla	Bovidae	Least Concern	0.0017957
ruminants	Suni	Neotragus moschatus	Artiodactyla	Bovidae	Least Concern	0.0027185
ruminants	Royal antelope	Neotragus pygmaeus	Artiodactyla	Bovidae	Least Concern	0.0029806
ruminants	Maxwell's duiker	Philantomba maxwellii	Artiodactyla	Bovidae	Least Concern	0.0065825
ruminants	Kirk's dik-dik	Madoqua kirkii	Artiodactyla	Bovidae	Least Concern	0.0020650
ruminants	Lesser kudu	Tragelaphus imberbis	Artiodactyla	Bovidae	Least Concern	0.0013903
ruminants	Greater kudu	Tragelaphus strepsiceros	Artiodactyla	Bovidae	Least Concern	0.0019350
ruminants	Harvey's duiker	Cephalophus harveyi	Artiodactyla	Bovidae	Least Concern	0.0025389
ruminants	Kéwel	Tragelaphus scriptus	Artiodactyla	Bovidae	Least Concern	0.0038994
ruminants	Bohor reedbuck	Redunca redunca	Artiodactyla	Bovidae	Least Concern	0.0023847
ruminants	Klipspringer	Oreotragus oreotragus	Artiodactyla	Bovidae	Least Concern	0.0046985
ruminants	Gerenuk	Litocranius walleri	Artiodactyla	Bovidae	Near Threatened	0.0017041
ruminants	Common duiker	Sylvicapra grimmia	Artiodactyla	Bovidae	Least Concern	0.0033818
ruminants	Blue wildebeest	Connochaetes taurinus	Artiodactyla	Bovidae	Least Concern	0.0018178
ruminants	Common tsessebe	Damaliscus lunatus	Artiodactyla	Bovidae	Least Concern	0.0047837
ruminants	Mountain nyala	Tragelaphus buxtoni	Artiodactyla	Bovidae	Endangered	0.0010180
ruminants	Springbuck	Antidorcas marsupialis	Artiodactyla	Bovidae	Least Concern	0.0060232
ruminants	Bongo	Tragelaphus euryceros	Artiodactyla	Bovidae	Near Threatened	0.0006833
ruminants	Sitatunga	Tragelaphus spekii	Artiodactyla	Bovidae	Least Concern	0.0011309
ruminants	Argali	Ovis ammon	Artiodactyla	Bovidae	Near Threatened	0.0018130
ruminants	White-lipped deer	Gervus albirostris	Artiodactyla	Bovidae	Vulnerable	0.0040718
ruminants	Hartebeest	Alcelaphus buselaphus	Artiodactyla	Tragulidae	Least Concern	0.0087145
ruminants	Lesser Mouse Deer	Tragulus kanchil	Artiodactyla	Cervidae	Least Concern	0.0055604
ruminants	David deer	Elaphurus davidianus	Artiodactyla	Giraffidae	Extinct Wild	0.0006564
ruminants	Giraffe	Giraffa camelopardalis	Artiodactyla	Moschidae	Vulnerable	0.0010615
ruminants	ForeastMuskDeer	Moschus berezovskii	Artiodactyla	Moschidae	Endangered	0.0033620
ruminants	Indian muntjac	Muntiacus muntjak	Artiodactyla	Cervidae	Least Concern	0.0009146
ruminants	Chinese muntjac	Muntiacus reevesi	Artiodactyla	Cervidae	Least Concern	0.0014257
ruminants	Gemsbok	Oryx gazella	Artiodactyla	Bovidae	Least Concern	0.0010857
ruminants	Pronghorn	Antilocapra americana	Artiodactyla	Antilocapridae	Least Concern	0.0017616
ruminants	GazellaPrzewalskyi	Procapra przewalskii	Artiodactyla	Bovidae	Endangered	0.0020506
ruminants	Reindeer 	Rangifer tarandus	Artiodactyla	Cervidae	Vulnerable	0.0020149
ruminants	Okapi	Okapia johnstoni	Artiodactyla	Giraffidae	Endangered	0.0040875
ruminants	African Buffalo	Syncerus caffer	Artiodactyla	Bovidae	Near Threatened	0.0044129
ruminants	Black muntjac	Muntiacus crinifrons	Artiodactyla	Cervidae	Vulnerable	0.0032376
animals	Rat	Rattus norvegicus	Rodentia	Muridae	Least Concern	0.0012500
animals	Human San	Homo sapiens	Primates	Hominidae	Least Concern	0.0011110
animals	Small skipper	Thymelicus sylvestris	Lepidoptera	Hesperiidae	Least Concern	0.0057615
animals	Human	Homo sapiens	Primates	Hominidae	Least Concern	0.0010375
animals	Glanville fritillary	Melitaea cinxia	Lepidoptera	Nymphalidae	Least Concern	0.0049152
animals	Vase tunicate	Ciona intestinalis	Enterogona	Cionidae	Data deficient	0.0085401
animals	African honey bee	Apis mellifera scutellata	Hymenoptera	Apidae	Data deficient	0.0062249
animals	Harvester ant	Messor barbarus	Hymenoptera	Formicidae	Data deficient	0.0022761
animals	Velvet crab	Necora puber	Decapoda	Portunidae	Data deficient	0.0018140
